name,datetime,job_id,department_id
Carol Painter,2023-07-01T19:02:16.232086+00:00,57,28
Jason Dunlap,2023-07-01T19:02:16.232593+00:00,57,25
Margaret Williams,2023-07-01T19:02:16.232676+00:00,60,27
Patricia Machida,2023-07-01T19:02:16.248736+00:00,60,21
James Palacios,2023-07-01T19:02:16.249588+00:00,62,28
Alison Freyermuth,2023-07-01T19:02:16.264118+00:00,65,26
Kelsey Hursh,2023-07-01T19:02:16.275092+00:00,63,23
Lisa Fuller,2023-07-01T19:02:16.275396+00:00,63,27
Kenneth Collins,2023-07-01T19:02:16.275519+00:00,64,28
Carol Matsuda,2023-07-01T19:02:16.281188+00:00,63,25
Ann Jasper,2023-07-01T19:02:16.282737+00:00,62,23
Jason Beaucage,2023-07-01T19:02:16.303239+00:00,62,24
Audrey Gumm,2023-07-01T19:02:16.307360+00:00,59,21
Lauren Price,2023-07-01T19:02:16.307593+00:00,63,25
Gwendolyn Johnson,2023-07-01T19:02:16.307784+00:00,59,29
Tamica Smith,2023-07-01T19:02:16.308977+00:00,58,25
Opal Yocum,2023-07-01T19:02:16.311305+00:00,65,28
Barry Eichenberger,2023-07-01T19:02:16.324268+00:00,62,26
Octavia Tenda,2023-07-01T19:02:16.359411+00:00,60,24
Helene Barnes,2023-07-01T19:02:16.359880+00:00,60,28
Adelle Colwell,2023-07-01T19:02:16.362561+00:00,61,26
Amanda Evans,2023-07-01T19:02:16.362692+00:00,64,23
Michael Read,2023-07-01T19:02:16.363625+00:00,63,21
George Woodruff,2023-07-01T19:02:16.364226+00:00,60,23
Gregory Seamons,2023-07-01T19:02:16.372160+00:00,61,27
Francine Rodvold,2023-07-01T19:02:16.418121+00:00,58,24
Lessie Hollingsworth,2023-07-01T19:02:16.420392+00:00,57,27
Jerry Labo,2023-07-01T19:02:16.492181+00:00,57,29
Jill Wedeking,2023-07-01T19:02:16.509085+00:00,65,25
Kenneth Bernard,2023-07-01T19:02:16.510109+00:00,60,29
Robin Davidson,2023-07-01T19:02:16.510602+00:00,61,27
Juliann Conwell,2023-07-01T19:02:16.518711+00:00,61,27
Charles Flood,2023-07-01T19:02:16.520693+00:00,60,27
Ricky Brunswick,2023-07-01T19:02:16.533025+00:00,62,22
Monica Vargas,2023-07-01T19:02:16.533624+00:00,59,26
John Lee,2023-07-01T19:02:16.533790+00:00,61,29
Helen Hartley,2023-07-01T19:02:16.534822+00:00,57,28
Thomas Welch,2023-07-01T19:02:16.535214+00:00,57,26
Joan Chockley,2023-07-01T19:02:16.570018+00:00,65,29
Colin Racine,2023-07-01T19:02:16.572793+00:00,60,28
Jamie Matskin,2023-07-01T19:02:16.604175+00:00,58,23
Heather Yazzie,2023-07-01T19:02:16.605224+00:00,63,26
Brandon Bernice,2023-07-01T19:02:16.638724+00:00,59,29
Merle Ansari,2023-07-01T19:02:16.646386+00:00,59,26
Christy Ledford,2023-07-01T19:02:16.647411+00:00,63,26
Dolores Kelley,2023-07-01T19:02:16.647644+00:00,63,26
Kathryn Jones,2023-07-01T19:02:16.647747+00:00,58,22
Elsie Rasmussen,2023-07-01T19:02:16.648327+00:00,59,25
Laura Beals,2023-07-01T19:02:16.650284+00:00,65,25
Scott Ernst,2023-07-01T19:02:16.651304+00:00,64,26
Matthew Landry,2023-07-01T19:02:16.651687+00:00,60,22
Ronald Legions,2023-07-01T19:02:16.679808+00:00,58,27
Raul Powell,2023-07-01T19:02:16.680131+00:00,63,23
Barbara Demarsico,2023-07-01T19:02:16.692805+00:00,58,21
Casey White,2023-07-01T19:02:16.693338+00:00,65,26
Keith Burman,2023-07-01T19:02:16.698719+00:00,60,22
Joy Ealy,2023-07-01T19:02:16.703925+00:00,63,28
George Ballinger,2023-07-01T19:02:16.706208+00:00,60,26
Tiffany Breckenridge,2023-07-01T19:02:16.708962+00:00,58,29
Edwin Wise,2023-07-01T19:02:16.709281+00:00,57,24
Brianne Ford,2023-07-01T19:02:16.709902+00:00,58,21
Joel Smith,2023-07-01T19:02:16.710029+00:00,57,24
Eleanor Fitch,2023-07-01T19:02:16.710897+00:00,61,24
Patricia Mcdowell,2023-07-01T19:02:16.711242+00:00,57,25
Maria Kirkwood,2023-07-01T19:02:16.713093+00:00,61,28
Jacquline Luce,2023-07-01T19:02:16.715096+00:00,60,26
Ahmad Martinez,2023-07-01T19:02:16.715615+00:00,57,23
Randell Weatherford,2023-07-01T19:02:16.717537+00:00,59,26
Philip Ricketts,2023-07-01T19:02:16.718863+00:00,60,28
Andrew Branch,2023-07-01T19:02:16.719274+00:00,58,28
Diana Hauer,2023-07-01T19:02:16.725061+00:00,62,28
Amy Volk,2023-07-01T19:02:16.727619+00:00,57,21
Shirley Pritchard,2023-07-01T19:02:16.728288+00:00,57,28
Brenda Hucks,2023-07-01T19:02:16.736154+00:00,60,23
Linda Padilla,2023-07-01T19:02:16.736503+00:00,64,28
Lillian Morris,2023-07-01T19:02:16.736638+00:00,62,23
Bonnie Briggs,2023-07-01T19:02:16.736936+00:00,63,28
Chelsea Roberts,2023-07-01T19:02:16.737196+00:00,62,22
Suzanne Esbenshade,2023-07-01T19:02:16.762892+00:00,63,26
Debbie Cordova,2023-07-01T19:02:16.763625+00:00,58,24
Julian Davis,2023-07-01T19:02:16.763834+00:00,59,23
Donald Hurley,2023-07-01T19:02:16.764261+00:00,60,22
James Burt,2023-07-01T19:02:16.764754+00:00,61,24
Pamela Alvarez,2023-07-01T19:02:16.764929+00:00,62,28
Laura Williams,2023-07-01T19:02:16.765004+00:00,58,26
Randy Tillman,2023-07-01T19:02:16.765447+00:00,60,26
William Jennings,2023-07-01T19:02:16.765633+00:00,64,23
Heather Castor,2023-07-01T19:02:16.768349+00:00,58,26
Trena Jackson,2023-07-01T19:02:16.769107+00:00,59,22
Tiffany Kroells,2023-07-01T19:02:16.795532+00:00,63,22
Steven Maher,2023-07-01T19:02:16.797327+00:00,62,26
Morgan Cox,2023-07-01T19:02:16.798080+00:00,58,21
Zina Kent,2023-07-01T19:02:16.800324+00:00,63,29
Phillip Boles,2023-07-01T19:02:16.802322+00:00,57,27
Melvin Slemmons,2023-07-01T19:02:16.834030+00:00,65,28
Travis Park,2023-07-01T19:02:16.834828+00:00,65,27
Joseph Wolfe,2023-07-01T19:02:16.835295+00:00,59,29
Robert Rodriguez,2023-07-01T19:02:16.835461+00:00,63,21
Olivia Ford,2023-07-01T19:02:16.835986+00:00,63,27
Tony David,2023-07-01T19:02:16.836965+00:00,60,21
Roberta Vanacore,2023-07-01T19:02:16.865831+00:00,59,27
Regina Edmond,2023-07-01T19:02:16.868936+00:00,59,27
Donald Harrison,2023-07-01T19:02:16.869273+00:00,64,23
James Overton,2023-07-01T19:02:16.870814+00:00,64,23
Alexandra Kio,2023-07-01T19:02:16.906792+00:00,61,25
Cody Downey,2023-07-01T19:02:16.908369+00:00,60,24
Betty Prohaska,2023-07-01T19:02:16.935251+00:00,64,26
Dante Searing,2023-07-01T19:02:16.957437+00:00,62,28
Ellen Rice,2023-07-01T19:02:16.957755+00:00,60,26
Eric Champagne,2023-07-01T19:02:16.958808+00:00,65,26
Bernardo Cooper,2023-07-01T19:02:16.959238+00:00,60,21
Eva Simmons,2023-07-01T19:02:16.959414+00:00,62,21
Lucille Wilson,2023-07-01T19:02:16.959545+00:00,59,25
Eugene Mailes,2023-07-01T19:02:16.987933+00:00,63,25
Daniel Fleenor,2023-07-01T19:02:16.991466+00:00,58,21
Michael Gregory,2023-07-01T19:02:16.991725+00:00,61,24
Martha Tucker,2023-07-01T19:02:16.991876+00:00,57,28
Heather Wells,2023-07-01T19:02:16.992021+00:00,60,29
Felisa Arnold,2023-07-01T19:02:16.993103+00:00,58,28
James Palms,2023-07-01T19:02:17.010786+00:00,65,27
George Flores,2023-07-01T19:02:17.011011+00:00,60,24
Anne Smith,2023-07-01T19:02:17.011125+00:00,59,21
Jonathan Rangel,2023-07-01T19:02:17.011672+00:00,63,21
Marie Castleberry,2023-07-01T19:02:17.013329+00:00,61,21
John Six,2023-07-01T19:02:17.017648+00:00,61,25
Marvin Stannard,2023-07-01T19:02:17.023032+00:00,61,23
Becky Ward,2023-07-01T19:02:17.023356+00:00,61,25
Luke Thompson,2023-07-01T19:02:17.023580+00:00,60,22
Rosa Bloomquist,2023-07-01T19:02:17.028131+00:00,57,27
Barbara Hagan,2023-07-01T19:02:17.028964+00:00,63,26
Ronnie Taylor,2023-07-01T19:02:17.029108+00:00,62,24
Rachel Sokoloski,2023-07-01T19:02:17.037627+00:00,57,27
Gwendolyn Cooper,2023-07-01T19:02:17.037947+00:00,60,28
Agustin Jones,2023-07-01T19:02:17.038353+00:00,58,21
Hazel Harris,2023-07-01T19:02:17.038504+00:00,62,24
Jason Garcia,2023-07-01T19:02:17.038591+00:00,58,25
Bonnie Delamora,2023-07-01T19:02:17.046825+00:00,65,25
Martha Zurawski,2023-07-01T19:02:17.063390+00:00,60,24
Leonard Mitchell,2023-07-01T19:02:17.063644+00:00,64,22
Sadie Jones,2023-07-01T19:02:17.063908+00:00,59,26
Lillian Schmalz,2023-07-01T19:02:17.071896+00:00,61,26
Paul Simpson,2023-07-01T19:02:17.072178+00:00,59,28
Lauren Allen,2023-07-01T19:02:17.072345+00:00,63,25
Anya Nhek,2023-07-01T19:02:17.094656+00:00,62,22
Sandra Branhan,2023-07-01T19:02:17.113295+00:00,60,21
Inez Garcia,2023-07-01T19:02:17.113638+00:00,58,22
Brendan Puff,2023-07-01T19:02:17.122771+00:00,62,22
Maxine Jackson,2023-07-01T19:02:17.123075+00:00,59,26
Felicia Braman,2023-07-01T19:02:17.130824+00:00,58,29
Virginia Conner,2023-07-01T19:02:17.131173+00:00,60,26
Scarlett Stitt,2023-07-01T19:02:17.133906+00:00,57,28
Barbara Hill,2023-07-01T19:02:17.134188+00:00,64,27
Rachel Gusler,2023-07-01T19:02:17.144860+00:00,64,23
Charlene Zhong,2023-07-01T19:02:17.159680+00:00,59,28
Cecelia Hill,2023-07-01T19:02:17.160068+00:00,61,23
Barbara Campbell,2023-07-01T19:02:17.160170+00:00,63,22
Jennifer Hutton,2023-07-01T19:02:17.161092+00:00,65,21
Sally Mcclaskey,2023-07-01T19:02:17.167261+00:00,57,21
Patricia Harper,2023-07-01T19:02:17.167495+00:00,59,24
Jeffrey Landry,2023-07-01T19:02:17.167889+00:00,60,25
John Hartle,2023-07-01T19:02:17.170967+00:00,58,29
William James,2023-07-01T19:02:17.171112+00:00,63,21
Stuart Ingalls,2023-07-01T19:02:17.173504+00:00,59,25
Luis Miller,2023-07-01T19:02:17.173669+00:00,59,23
Monique Gosch,2023-07-01T19:02:17.187072+00:00,62,27
Rebecca Roby,2023-07-01T19:02:17.188557+00:00,64,22
John Lopez,2023-07-01T19:02:17.188667+00:00,59,29
Courtney Sprayberry,2023-07-01T19:02:17.198738+00:00,60,21
Kenneth Reed,2023-07-01T19:02:17.199055+00:00,58,22
Jeanette Dudley,2023-07-01T19:02:17.199974+00:00,64,21
Annette Bubert,2023-07-01T19:02:17.264402+00:00,61,23
Heidi Vasquez,2023-07-01T19:02:17.265049+00:00,60,22
Harry Prince,2023-07-01T19:02:17.265823+00:00,65,23
Geri Sullivan,2023-07-01T19:02:17.267004+00:00,57,22
Don Hensley,2023-07-01T19:02:17.267755+00:00,64,29
Paul Walston,2023-07-01T19:02:17.271757+00:00,60,21
Sydney Cox,2023-07-01T19:02:17.272791+00:00,57,21
Erica Kull,2023-07-01T19:02:17.282612+00:00,61,26
Jeffrey Morris,2023-07-01T19:02:17.282940+00:00,65,22
Donald Isom,2023-07-01T19:02:17.285341+00:00,61,25
Rena Erickson,2023-07-01T19:02:17.286332+00:00,60,24
Ronald Dunn,2023-07-01T19:02:17.286633+00:00,58,21
Harvey Marshall,2023-07-01T19:02:17.287044+00:00,57,25
Frank Lee,2023-07-01T19:02:17.287224+00:00,57,26
Doug Coffie,2023-07-01T19:02:17.311748+00:00,63,28
Beulah Keith,2023-07-01T19:02:17.312818+00:00,62,21
Carl Petersen,2023-07-01T19:02:17.313539+00:00,65,21
Tyrone Newcomb,2023-07-01T19:02:17.315712+00:00,58,25
Bonnie Read,2023-07-01T19:02:17.317648+00:00,64,22
Laurie Findley,2023-07-01T19:02:17.321016+00:00,62,25
Clifford Rivera,2023-07-01T19:02:17.321372+00:00,61,25
John Sin,2023-07-01T19:02:17.334795+00:00,63,21
Kelly Williams,2023-07-01T19:02:17.335105+00:00,60,23
Ruth Lewis,2023-07-01T19:02:17.335284+00:00,59,24
John Miners,2023-07-01T19:02:17.369395+00:00,61,25
Robert Alder,2023-07-01T19:02:17.374329+00:00,60,26
Leslie Daughtrey,2023-07-01T19:02:17.380439+00:00,57,26
Sidney Speck,2023-07-01T19:02:17.383631+00:00,65,23
Harry Debo,2023-07-01T19:02:17.393152+00:00,63,21
Simona Williams,2023-07-01T19:02:17.394339+00:00,60,21
Sharilyn Bozell,2023-07-01T19:02:17.407583+00:00,59,25
Randall Enright,2023-07-01T19:02:17.409850+00:00,61,25
Joseph Curtis,2023-07-01T19:02:17.410114+00:00,63,22
Albert Myles,2023-07-01T19:02:17.411044+00:00,60,24
Robert Carpenter,2023-07-01T19:02:17.411206+00:00,59,26
William Rodriguez,2023-07-01T19:02:17.411287+00:00,62,26
Erma Raborn,2023-07-01T19:02:17.422240+00:00,58,27
Douglas Jones,2023-07-01T19:02:17.422432+00:00,60,22
Steven Escareno,2023-07-01T19:02:17.432269+00:00,59,26
Tony Leach,2023-07-01T19:02:17.432811+00:00,64,27
Lawrence Mose,2023-07-01T19:02:17.439757+00:00,63,26
Robert Lawton,2023-07-01T19:02:17.441066+00:00,58,27
Dorothy King,2023-07-01T19:02:17.441183+00:00,63,28
Catherine Ernest,2023-07-01T19:02:17.443810+00:00,59,22
Diane Rogian,2023-07-01T19:02:17.475512+00:00,65,27
Jasmine Bradley,2023-07-01T19:02:17.475986+00:00,63,21
Vernon Thompson,2023-07-01T19:02:17.476164+00:00,57,26
Daniel Damico,2023-07-01T19:02:17.477622+00:00,62,22
Deborah Damore,2023-07-01T19:02:17.483257+00:00,59,23
Celia Youngblood,2023-07-01T19:02:17.484333+00:00,65,28
Ronald Tillman,2023-07-01T19:02:17.484773+00:00,63,24
Christopher Mignot,2023-07-01T19:02:17.510013+00:00,63,29
Samantha Fender,2023-07-01T19:02:17.512596+00:00,57,29
Amy Burkes,2023-07-01T19:02:17.516526+00:00,57,21
Michelle Haas,2023-07-01T19:02:17.517139+00:00,61,27
Jesse Graves,2023-07-01T19:02:17.517391+00:00,65,22
Patricia Biggers,2023-07-01T19:02:17.520922+00:00,59,28
James Watson,2023-07-01T19:02:17.521073+00:00,65,25
Jung Torbert,2023-07-01T19:02:17.527215+00:00,57,27
Michael Hawkins,2023-07-01T19:02:17.527418+00:00,61,28
Guy Parker,2023-07-01T19:02:17.527623+00:00,61,21
